station,valid,metar
BOS,8/22/2020 0:54,KBOS 220054Z 22016KT 10SM FEW055 SCT250 26/18 A2985 RMK AO2 SLP108 T02610178
BOS,8/22/2020 1:54,KBOS 220154Z 28006KT 10SM FEW055 SCT250 25/18 A2988 RMK AO2 SLP116 T02500178
BOS,8/22/2020 2:54,KBOS 220254Z 26007KT 10SM FEW150 FEW220 SCT250 24/18 A2988 RMK AO2 SLP118 T02390178 51016
BOS,8/22/2020 3:54,KBOS 220354Z 26008KT 10SM FEW080 FEW220 BKN250 23/18 A2988 RMK AO2 SLP119 T02330183
BOS,8/22/2020 4:54,KBOS 220454Z 28005KT 10SM FEW150 SCT250 23/18 A2988 RMK AO2 SLP117 T02330183 403170172
BOS,8/22/2020 5:54,KBOS 220554Z 29004KT 10SM FEW150 BKN250 23/18 A2988 RMK AO2 SLP117 T02280183 10272 20228 58001
BOS,8/22/2020 6:54,KBOS 220654Z 29006KT 10SM BKN150 BKN220 OVC250 23/18 A2988 RMK AO2 SLP118 T02280178
BOS,8/22/2020 7:54,KBOS 220754Z 30005KT 10SM BKN220 OVC250 22/18 A2988 RMK AO2 SLP119 T02220178
BOS,8/22/2020 8:54,KBOS 220854Z 30005KT 10SM FEW150 OVC220 22/17 A2989 RMK AO2 SLP122 T02170167 53005
BOS,8/22/2020 9:54,KBOS 220954Z 33006KT 10SM FEW035 SCT150 BKN250 22/16 A2990 RMK AO2 SLP124 T02170156
BOS,8/22/2020 10:54,KBOS 221054Z 34003KT 10SM FEW035 SCT150 BKN250 22/16 A2991 RMK AO2 SLP128 T02170156
BOS,8/22/2020 11:54,KBOS 221154Z 14003KT 10SM FEW035 SCT150 BKN250 22/17 A2992 RMK AO2 SLP130 T02220167 10228 20211 51008
BOS,8/22/2020 12:54,KBOS 221254Z 12006KT 10SM FEW035 SCT220 BKN250 22/16 A2991 RMK AO2 SLP129 T02170161
BOS,8/22/2020 13:54,KBOS 221354Z 13007KT 10SM FEW040 FEW220 BKN250 23/17 A2993 RMK AO2 SLP134 T02280167
BOS,8/22/2020 14:54,KBOS 221454Z 13005KT 10SM FEW040 SCT140 BKN250 24/17 A2994 RMK AO2 LTG DSNT NW SLP136 T02440167 53007
BOS,8/22/2020 15:54,KBOS 221554Z 04010KT 10SM -RA SCT040 BKN060 BKN130 BKN250 23/17 A2995 RMK AO2 RAB47 SLP141 P0000 T02280172
BOS,8/22/2020 16:54,KBOS 221654Z 07006KT 10SM SCT040 SCT060TCU SCT130 BKN250 25/18 A2992 RMK AO2 LTG DSNT S AND SW RAE19 SLP133 TCU N/S P0000 T02500183
BOS,8/22/2020 17:54,KBOS 221754Z 13007KT 10SM FEW060 SCT130 BKN250 25/17 A2992 RMK AO2 LTG DSNT SE AND S SLP129 CB DSNT SE AND SW MOV SE 60000 T02500172 10256 20217 58007
BOS,8/22/2020 18:54,KBOS 221854Z 08008KT 10SM -RA SCT060 BKN140 BKN250 23/18 A2991 RMK AO2 LTG DSNT S AND W RAB52 SLP127 P0000 T02330178
BOS,8/22/2020 19:54,KBOS 221954Z 17005KT 10SM FEW045 SCT130 BKN230 26/18 A2991 RMK AO2 LTG DSNT S RAE08 SLP127 P0000 T02560183
BOS,8/22/2020 20:54,KBOS 222054Z 14009KT 10SM FEW045 FEW130 FEW230 25/19 A2991 RMK AO2 SLP127 CB DSNT SE-SW 60000 T02500194 56003
BOS,8/22/2020 21:54,KBOS 222154Z 16010KT 10SM FEW050 FEW130 FEW230 25/20 A2991 RMK AO2 SLP128 T02500200
