,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2021-12-31 12:00,2021-12-31 13:00,,41.0,40.0,OV,30.0,3.0,,,,,,,,,,3,4,BR,0.0,4.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,2.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-12-31T12:00:00.000Z,2021-12-31T13:00:00.000Z
1,1,LAV,2021-12-31 12:00,2021-12-31 14:00,,41.0,40.0,OV,30.0,3.0,,,,,,,,,,3,4,BR,0.0,6.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,2.0,N,4,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-12-31T12:00:00.000Z,2021-12-31T14:00:00.000Z
2,2,LAV,2021-12-31 12:00,2021-12-31 15:00,,42.0,40.0,OV,20.0,1.0,,,,,,,,,,3,4,BR,1.0,9.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,1.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-12-31T12:00:00.000Z,2021-12-31T15:00:00.000Z
3,3,LAV,2021-12-31 12:00,2021-12-31 16:00,,43.0,40.0,OV,40.0,1.0,,,,,,,,,,3,5,HZ,1.0,11.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,1.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-12-31T12:00:00.000Z,2021-12-31T16:00:00.000Z
4,4,LAV,2021-12-31 12:00,2021-12-31 17:00,,43.0,41.0,OV,80.0,2.0,,,,,,,,,,3,4,N ,1.0,12.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,1.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-12-31T12:00:00.000Z,2021-12-31T17:00:00.000Z
5,5,LAV,2021-12-31 12:00,2021-12-31 18:00,,44.0,41.0,OV,90.0,2.0,1.0,,,,,,,,,3,7,N ,1.0,12.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,2.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-12-31T12:00:00.000Z,2021-12-31T18:00:00.000Z
6,6,LAV,2021-12-31 12:00,2021-12-31 19:00,,43.0,41.0,OV,100.0,3.0,,,,,,,,,,3,7,N ,1.0,11.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,5.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,4,N,,,2021-12-31T12:00:00.000Z,2021-12-31T19:00:00.000Z
7,7,LAV,2021-12-31 12:00,2021-12-31 20:00,,43.0,42.0,OV,110.0,3.0,,,,,,,,,,3,7,N ,2.0,8.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,9.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,3,N,,,2021-12-31T12:00:00.000Z,2021-12-31T20:00:00.000Z
8,8,LAV,2021-12-31 12:00,2021-12-31 21:00,,42.0,42.0,OV,120.0,3.0,,,,,,,,,,3,7,N ,2.0,6.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,12.0,N,5,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,4,N,,,2021-12-31T12:00:00.000Z,2021-12-31T21:00:00.000Z
9,9,LAV,2021-12-31 12:00,2021-12-31 22:00,,42.0,42.0,OV,120.0,3.0,,,,,,,,,,3,7,N ,2.0,5.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,17.0,N,5,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,4,N,,,2021-12-31T12:00:00.000Z,2021-12-31T22:00:00.000Z
